tconst,primaryTitle,seriesName,seasonNumber,episodeNumber,averageRating,numVotes,ranking
tt3475584,The Electric Boy,Cosmos: A Spacetime Odyssey,1,10,9.1,1693,36
tt2777064,Gas Station/Caricature Artist,Nathan for You,1,4,9.2,1229,37
tt18263234,"Orange Juice, No Pulp",The Rehearsal,1,1,9.0,2561,38
tt3120698,When Knowledge Conquered Fear,Cosmos: A Spacetime Odyssey,1,3,9.0,2399,39
tt9253868,One Planet,Our Planet,1,1,9.0,2396,40
tt3120712,The World Set Free,Cosmos: A Spacetime Odyssey,1,12,9.1,1554,41
tt21116406,Pretend Daddy,The Rehearsal,1,6,9.1,1529,42
tt3120704,A Sky Full of Ghosts,Cosmos: A Spacetime Odyssey,1,4,9.0,2280,43
tt7473714,One Ocean,Blue Planet II,1,1,9.1,1507,44
tt8434582,Episode II,The Last Dance,1,2,8.9,4008,45
tt14873812,Part 1: Days 1-7,The Beatles: Get Back,1,1,9.0,2128,46
tt3281198,Hiding in the Light,Cosmos: A Spacetime Odyssey,1,5,9.0,2021,47
tt9253882,Forests,Our Planet,1,8,9.1,1395,48
tt7579602,The Deep,Blue Planet II,1,2,9.1,1385,49
tt6209130,Jungles,Planet Earth II,1,3,8.9,3351,50
tt0905876,Ice Worlds,Planet Earth,1,6,8.9,2937,51
tt0905877,Jungles,Planet Earth,1,8,8.9,2847,52
tt3120710,The Lost Worlds of Planet Earth,Cosmos: A Spacetime Odyssey,1,9,9.0,1682,53
tt0905878,Ocean Deep,Planet Earth,1,11,8.9,2699,54
tt2987754,Some of the Things That Molecules Do,Cosmos: A Spacetime Odyssey,1,2,8.9,2654,55
tt3475586,The Immortals,Cosmos: A Spacetime Odyssey,1,11,9.0,1639,56
tt9253878,The High Seas,Our Planet,1,6,9.0,1436,57
tt20253762,Council-ing,Clarkson's Farm,2,5,9.2,858,58
tt20253772,Scheming,Clarkson's Farm,2,7,9.2,842,59
tt7219396,The Anecdote,Nathan for You,4,5,9.2,815,60
tt0797602,Mountains,Planet Earth,1,2,8.8,3509,61
tt0797601,Fresh Water,Planet Earth,1,3,8.8,3227,62
tt8434592,Episode VI,The Last Dance,1,6,8.8,3176,63
tt0799305,Caves,Planet Earth,1,4,8.8,3127,64
tt9206758,Vavilov,Cosmos: Possible Worlds,1,4,9.1,951,65
tt6209134,Deserts,Planet Earth II,1,4,8.8,2997,66
tt2854226,Sisters of the Sun,Cosmos: A Spacetime Odyssey,1,8,8.9,1703,67
tt0905880,Shallow Seas,Planet Earth,1,9,8.8,2721,68
tt7579764,Coral Reefs,Blue Planet II,1,3,9.0,1163,69
tt5199634,Smokers Allowed,Nathan for You,3,5,9.1,897,70
tt0905879,Seasonal Forests,Planet Earth,1,10,8.8,2623,71
tt5761480,Grant Achatz,Chef's Table,2,1,9.2,734,72
tt14873818,Part 2: Days 8-16,The Beatles: Get Back,1,2,8.9,1547,73
tt20253766,Counselling,Clarkson's Farm,2,6,9.1,834,74
tt0276768,Alice in Chains,Unplugged,7,3,9.1,795,75
tt7219394,Andy vs. Uber,Nathan for You,4,4,9.1,786,76
tt9206770,Magic Without Lies,Cosmos: Possible Worlds,1,9,9.1,757,77
tt3410940,The Clean Room,Cosmos: A Spacetime Odyssey,1,7,8.8,1804,78
tt0818059,Deserts,Planet Earth,1,5,8.7,2986,79
tt5255590,Indefensible,Making a Murderer,1,4,8.8,1648,80
tt6209140,Grasslands,Planet Earth II,1,5,8.7,2759,81
tt9253874,Coastal Seas,Our Planet,1,4,8.8,1579,82
tt5141324,The Movement,Nathan for You,3,3,9.0,853,83
tt9253876,From Deserts to Grasslands,Our Planet,1,5,8.8,1449,84
tt13021538,How to Cook the Perfect Risotto,How to with John Wilson,1,6,9.2,553,85
tt10340164,Asia,Seven Worlds One Planet,1,2,9.2,548,86
tt9206766,The Search for Intelligent Life on Earth,Cosmos: Possible Worlds,1,7,9.0,775,87
tt10340162,Antarctica,Seven Worlds One Planet,1,1,9.1,639,88
tt9253880,Fresh Water,Our Planet,1,7,8.8,1328,89
tt7579758,Green Seas,Blue Planet II,1,5,8.9,960,90
tt17070210,Act I: Vision,Jeen-yuhs: A Kanye Trilogy,1,1,8.7,1981,91
tt20253742,Cowering,Clarkson's Farm,2,2,8.9,932,92
tt11733016,Pan (dem) icking,Clarkson's Farm,1,5,8.8,1205,93
tt3120706,"Deeper, Deeper, Deeper Still",Cosmos: A Spacetime Odyssey,1,6,8.7,1816,94
tt9206754,The Fleeting Grace of the Habitable Zone,Cosmos: Possible Worlds,1,2,8.9,887,95
tt20253752,Schmoozing,Clarkson's Farm,2,3,8.9,877,96
tt20253756,Badgering,Clarkson's Farm,2,4,8.9,851,97
tt10340166,South America,Seven Worlds One Planet,1,3,9.2,492,98
tt0905875,Great Plains,Planet Earth,1,7,8.6,2766,99
tt5257872,The Last Person to See Teresa Alive,Making a Murderer,1,5,8.7,1512,100
tt14734550,First Response,9/11: One Day in America,1,1,9.5,334,101
tt7579754,Big Blue,Blue Planet II,1,4,8.8,1015,102
tt0759809,Journeys in Space and Time,Cosmos,1,8,9.1,536,103
tt0759812,The Shores of the Cosmic Ocean,Cosmos,1,1,8.9,773,104
tt9130696,Emperor,Dynasties,1,2,9.1,528,105
tt11733006,Sheeping,Clarkson's Farm,1,2,8.7,1304,106
tt9206768,The Sacrifice of Cassini,Cosmos: Possible Worlds,1,8,8.9,719,107
tt0112120,A Personal Journey with Martin Scorsese Through American Movies,Century of Cinema,1,6,8.5,5026,108
tt7579776,Coasts,Blue Planet II,1,6,8.8,878,109
tt11733010,Shopping,Clarkson's Farm,1,3,8.7,1196,110
tt11733040,Fluffing,Clarkson's Farm,1,7,8.7,1091,111
tt1738398,Once Brothers,30 for 30,1,25,8.5,3362,112
tt1129869,Genocide: 1941-1945,The World at War,1,20,9.2,402,113
tt5255582,Plight of the Accused,Making a Murderer,1,3,8.6,1608,114
tt12503630,Scottish Sport,Men in Kilts: A Roadtrip with Sam and Graham,1,2,9.0,531,115
tt2745878,Santa/Petting Zoo,Nathan for You,1,2,8.7,1058,116
tt21116398,Gold Digger,The Rehearsal,1,3,8.6,1581,117
tt0395324,Rosie O'Donnell,Intimate Portrait,,,10.0,199,118
tt0759810,One Voice in the Cosmic Fugue,Cosmos,1,2,8.9,631,119
tt9130700,Painted Wolf,Dynasties,1,4,9.1,450,120
tt0380449,Naomi Judd,Intimate Portrait,,,10.0,197,121
tt0339205,Diane Lane,Intimate Portrait,,,9.7,242,122
tt9130694,Chimpanzee,Dynasties,1,1,8.9,614,123
tt0353557,Bea Arthur,Intimate Portrait,,,9.9,208,124
tt10340176,Africa,Seven Worlds One Planet,1,7,9.2,382,125
tt0760462,The Edge of Forever,Cosmos,1,10,9.0,505,126
tt0760463,The Lives of the Stars,Cosmos,1,9,9.0,505,126
tt0395322,Cloris Leachman,Intimate Portrait,,,10.0,192,128
tt5734282,Things Fall Apart (January-June 1968),The Vietnam War,1,6,8.8,735,129
tt0760465,Who Speaks for Earth?,Cosmos,1,13,9.0,499,130
tt12503628,Food & Drink,Men in Kilts: A Roadtrip with Sam and Graham,1,1,8.9,593,131
tt21116404,Apocalypto,The Rehearsal,1,5,8.6,1379,132
tt0367555,No Direction Home: Bob Dylan,American Masters,19,7,8.4,11974,133
tt0399199,Marian Wright Edelman,Intimate Portrait,,,10.0,190,134
tt0479077,"Sarah, Duchess of York",Intimate Portrait,,,10.0,188,135
tt0382756,Sheryl Crow,Intimate Portrait,,,10.0,188,135
tt9045474,Friday Nite,Making a Murderer,2,9,8.7,881,137
tt11843728,Benoit - Part One,Dark Side of the Ring,2,1,8.9,554,138
tt0846339,The Deep,The Blue Planet,1,2,8.7,869,139
tt10340168,Australia,Seven Worlds One Planet,1,4,9.0,466,140
tt2853560,Kärringar mot strömmen,The Other Sport,1,2,8.8,672,141
tt0759808,Heaven and Hell,Cosmos,1,4,8.9,546,142
tt2095246,To the Ends of the Earth,Frozen Planet,1,1,8.7,855,143
tt0317724,Cynthia Nixon,Intimate Portrait,,,9.9,193,144
tt11843732,Benoit - Part Two,Dark Side of the Ring,2,2,8.9,541,145
tt0759805,Blues for a Red Planet,Cosmos,1,5,8.9,539,146
tt1129866,Barbarossa: June-December 1941,The World at War,1,5,9.0,456,147
tt12503632,Song & Dance,Men in Kilts: A Roadtrip with Sam and Graham,1,3,8.9,537,148
tt11733014,Wilding,Clarkson's Farm,1,4,8.6,1163,149
tt12331748,Lucille Ball,Intimate Portrait,,,10.0,180,150
tt5734330,The Weight of Memory (March 1973 - Onward),The Vietnam War,1,10,8.8,646,151
tt9130698,Lion,Dynasties,1,3,9.0,445,152
tt17070410,Act II: Purpose,Jeen-yuhs: A Kanye Trilogy,1,2,8.6,1108,153
tt5734246,The River Styx (January 1964-December 1965),The Vietnam War,1,3,8.7,802,154
tt0395323,Penny Marshall,Intimate Portrait,,,9.7,215,155
tt9206756,Lost City of Life,Cosmos: Possible Worlds,1,3,8.7,787,156
tt6541634,Jeong Kwan,Chef's Table,3,1,8.8,608,157
tt4163132,Interstellar,IMDb: What to Watch,2,22,9.2,330,158
tt0339206,Emma Samms,Intimate Portrait,,,9.8,196,159
tt8031922,Ladder to the Stars,Cosmos: Possible Worlds,1,1,8.6,1023,160
tt1493943,The Two Escobars,30 for 30,1,16,8.4,3401,161
tt14986054,Surviving,Clarkson's Farm,2,1,8.6,1001,162
tt0353560,Sharon Osbourne,Intimate Portrait,,,9.8,193,163
tt7089858,Part 3,The Defiant Ones,1,3,9.0,415,164
tt0759807,Harmony of the Worlds,Cosmos,1,3,8.8,584,165
tt1535233,Challenges of Life,Life,1,1,8.7,733,166
tt0759806,Encyclopaedia Galactica,Cosmos,1,12,8.9,483,167
tt1129881,Stalingrad: June 1942-February 1943,The World at War,1,9,9.0,413,168
tt0389037,Chaka Khan,Intimate Portrait,,,9.8,189,169
tt11874124,Raging Bulls,Formula 1: Drive to Survive,2,6,8.6,945,170
tt2780878,The Claw of Shame,Nathan for You,1,7,8.6,918,171
tt9045476,Trust No One,Making a Murderer,2,10,8.6,916,172
tt4508372,Family Values,The Jinx: The Life and Deaths of Robert Durst,1,5,8.6,915,173
tt5258124,Lack of Humility,Making a Murderer,1,9,8.5,1352,174
tt4488708,The State of Texas vs. Robert Durst,The Jinx: The Life and Deaths of Robert Durst,1,4,8.6,909,175
tt2780864,Haunted House/The Hunk,Nathan for You,1,5,8.6,903,176
tt11194692,The Happiest Place on Earth,The Imagineering Story,1,1,9.0,388,177
tt2751904,Survive and Advance,30 for 30,2,7,8.5,1284,178
tt0359480,Angie Dickinson,Intimate Portrait,,,9.7,195,179
tt0602894,Bette Davis,Hollywood Greats,6,2,9.8,182,180
tt5734298,The History of the World (April 1969-May 1970),The Vietnam War,1,8,8.7,652,181
tt9206774,Shadows of Forgotten Ancestors,Cosmos: Possible Worlds,1,11,8.7,651,182
tt5733734,Riding the Tiger (1961-1963),The Vietnam War,1,2,8.6,850,183
tt11848412,The Final Days of Owen Hart,Dark Side of the Ring,2,10,8.9,434,184
tt0759813,Travellers' Tales,Cosmos,1,6,8.8,515,185
